movie_id,cast_set_num,movie_title,duration,director_name,color,genres,plot_keywords,movie_language,country,content_rating,budget,title_year,aspect_ratio
M381,CS480,Now You See Me 2 ,129,Jon M. Chu,Color,Action|Adventure|Comedy|Crime|Mystery|Thriller,card trick|london england|magician|rain machine|rooftop,English,USA,PG-13,90000000,2016,2.35
M641,CS740,The Finest Hours ,117,Craig Gillespie,Color,Action|Drama|History|Thriller,1950s|coast guard|oil tanker|sinking ship|survival,English,USA,PG-13,,2016,2.35
M2675,CS2774,Keanu ,100,Peter Atencio,Color,Action|Comedy,car chase|gangsta|gun fight|hitman|kitten,English,USA,R,15000000,2016,2.35
M058,CS157,Star Trek Beyond ,122,Justin Lin,Color,Action|Adventure|Sci-Fi|Thriller,hatred|sequel|space opera|star trek|third part,English,USA,PG-13,185000000,2016,2.35
M1583,CS1682,Ghostbusters ,116,Paul Feig,Color,Action|Comedy|Fantasy|Sci-Fi,ghost|ghostbuster|ghostbusters|male objectification|reboot,English,USA,PG-13,144000000,2016,2.35
M568,CS667,The Angry Birds Movie ,97,Clay Kaytis,Color,Action|Animation|Comedy|Family,butt|downward duck|fish|kingfisher|pig,English,USA,PG,73000000,2016,1.85
M2471,CS2570,I Am Wrath ,92,Chuck Russell,Color,Action|Crime|Drama|Thriller,conspiracy|female scientist|mugging|police detective|tattoo,English,USA,R,18000000,2016,
M2367,CS2466,Fight Valley ,90,Rob Hawk,Color,Action|Drama,,English,USA,,27000000,2016,
M064,CS163,The Legend of Tarzan ,110,David Yates,Color,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,English,USA,PG-13,180000000,2016,2.35
M2287,CS2386,Triple 9 ,115,John Hillcoat,Color,Action|Crime|Drama|Thriller,betrayal|corrupt cop|heist|murder of a police officer|police detective,English,USA,R,20000000,2016,2.35
M245,CS344,The Huntsman: Winter's War ,120,Cedric Nicolas-Troyan,Color,Action|Adventure|Drama|Fantasy,based on fairy tale|dark fantasy|fairy tale|second part|sequel,English,USA,PG-13,115000000,2016,2.35
M066,CS165,X-Men: Apocalypse ,144,Bryan Singer,Color,Action|Adventure|Sci-Fi,mutant|superhero|superhero team|x men|year 1983,English,USA,PG-13,178000000,2016,2.35
M249,CS348,Teenage Mutant Ninja Turtles: Out of the Shadows ,112,Dave Green,Color,Action|Adventure|Comedy|Sci-Fi,based on comic book|brother brother relationship|rat|sequel|turtle,English,USA,PG-13,135000000,2016,2.35
M2214,CS2313,Risen ,107,Kevin Reynolds,Color,Action|Adventure|Drama|Mystery,biblical|crucifixion|judea|resurrection|roman soldier,English,USA,PG-13,20000000,2016,2.35
M265,CS364,Allegiant ,120,Robert Schwentke,Color,Action|Adventure|Mystery|Sci-Fi|Thriller,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,English,USA,PG-13,110000000,2016,2.35
M1790,CS1889,Pride and Prejudice and Zombies ,108,Burr Steers,Color,Action|Horror|Romance,based on novel|damsel in distress|deception|england|zombie,English,USA,PG-13,28000000,2016,2.35
M2023,CS2122,Jane Got a Gun ,98,Gavin O'Connor,Color,Action|Drama|Western,brothel|death of husband|ex lover|haunted by the past|redemption,English,USA,R,25000000,2016,2.35
M074,CS173,Suicide Squad ,123,David Ayer,Color,Action|Adventure|Comedy|Sci-Fi,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,English,USA,PG-13,175000000,2016,2.35
