movie_id,movie_title,director_name,content_rating,title_year,budget,gross,imdb_score
M001,Avatar ,James Cameron,PG-13,2009,237000000,760505847,7.9
M002,Pirates of the Caribbean: At World's End ,Gore Verbinski,PG-13,2007,300000000,309404152,7.1
M004,The Dark Knight Rises ,Christopher Nolan,PG-13,2012,250000000,448130642,8.5
M006,John Carter ,Andrew Stanton,PG-13,2012,263700000,73058679,6.6
M007,Spider-Man 3 ,Sam Raimi,PG-13,2007,258000000,336530303,6.2
M009,Avengers: Age of Ultron ,Joss Whedon,PG-13,2015,250000000,458991599,7.5
M011,Batman v Superman: Dawn of Justice ,Zack Snyder,PG-13,2016,250000000,330249062,6.9
M015,The Lone Ranger ,Gore Verbinski,PG-13,2013,215000000,89289910,6.5
M016,Man of Steel ,Zack Snyder,PG-13,2013,225000000,291021565,7.2
M017,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,PG,2008,225000000,141614023,6.6
M018,The Avengers ,Joss Whedon,PG-13,2012,220000000,623279547,8.1
M019,Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,PG-13,2011,250000000,241063875,6.7
M020,Men in Black 3 ,Barry Sonnenfeld,PG-13,2012,225000000,179020854,6.8
M022,The Amazing Spider-Man ,Marc Webb,PG-13,2012,230000000,262030663,7
M023,Robin Hood ,Ridley Scott,PG-13,2010,200000000,105219735,6.7
M028,Captain America: Civil War ,Anthony Russo,PG-13,2016,250000000,407197282,8.2
M029,Battleship ,Peter Berg,PG-13,2012,209000000,65173160,5.9
M030,Jurassic World ,Colin Trevorrow,PG-13,2015,150000000,652177271,7
M033,Iron Man 3 ,Shane Black,PG-13,2013,200000000,408992272,7.2
M037,Transformers: Revenge of the Fallen ,Michael Bay,PG-13,2009,200000000,402076689,6
M038,Transformers: Age of Extinction ,Michael Bay,PG-13,2014,210000000,245428137,5.7
M040,The Amazing Spider-Man 2 ,Marc Webb,PG-13,2014,200000000,202853933,6.7
M041,TRON: Legacy ,Joseph Kosinski,PG,2010,170000000,172051787,6.8
M043,Green Lantern ,Martin Campbell,PG-13,2011,200000000,116593191,5.6
M045,Terminator Salvation ,McG,PG-13,2009,200000000,125320003,6.6
M046,Furious 7 ,James Wan,PG-13,2015,190000000,350034110,7.2
M047,World War Z ,Marc Forster,PG-13,2013,190000000,202351611,7
M048,X-Men: Days of Future Past ,Bryan Singer,PG-13,2014,200000000,233914986,8
M049,Star Trek Into Darkness ,J.J. Abrams,PG-13,2013,190000000,228756232,7.8
M052,Prince of Persia: The Sands of Time ,Mike Newell,PG-13,2010,200000000,90755643,6.6
M053,Pacific Rim ,Guillermo del Toro,PG-13,2013,190000000,101785482,7
M054,Transformers: Dark of the Moon ,Michael Bay,PG-13,2011,195000000,352358779,6.3
M055,Indiana Jones and the Kingdom of the Crystal Skull ,Steven Spielberg,PG-13,2008,185000000,317011114,6.2
M058,Star Trek Beyond ,Justin Lin,PG-13,2016,185000000,130468626,7.5
M060,Rush Hour 3 ,Brett Ratner,PG-13,2007,140000000,140080850,6.2
M061,2012 ,Roland Emmerich,PG-13,2009,200000000,166112167,5.8
M063,Jupiter Ascending ,Lana Wachowski,PG-13,2015,176000000,47375327,5.4
M064,The Legend of Tarzan ,David Yates,PG-13,2016,180000000,124051759,6.6
M066,X-Men: Apocalypse ,Bryan Singer,PG-13,2016,178000000,154985087,7.3
M067,The Dark Knight ,Christopher Nolan,PG-13,2008,185000000,533316061,9
M069,Monsters vs. Aliens ,Rob Letterman,PG,2009,175000000,198332128,6.5
M070,Iron Man ,Jon Favreau,PG-13,2008,140000000,318298180,7.9
M073,The Mummy: Tomb of the Dragon Emperor ,Rob Cohen,PG-13,2008,145000000,102176165,5.2
M074,Suicide Squad ,David Ayer,PG-13,2016,175000000,161087183,6.9
M076,Edge of Tomorrow ,Doug Liman,PG-13,2014,178000000,100189501,7.9
M078,G.I. Joe: The Rise of Cobra ,Stephen Sommers,PG-13,2009,175000000,150167630,5.8
M081,Iron Man 2 ,Jon Favreau,PG-13,2010,200000000,312057433,7
M082,Snow White and the Huntsman ,Rupert Sanders,PG-13,2012,170000000,155111815,6.1
M083,Maleficent ,Robert Stromberg,PG,2014,180000000,241407328,7
M084,Dawn of the Planet of the Apes ,Matt Reeves,PG-13,2014,170000000,208543795,7.6
M086,47 Ronin ,Carl Rinsch,PG-13,2013,175000000,38297305,6.3
M087,Captain America: The Winter Soldier ,Anthony Russo,PG-13,2014,170000000,259746958,7.8
M089,Tomorrowland ,Brad Bird,PG,2015,190000000,93417865,6.5
M090,Big Hero 6 ,Don Hall,PG,2014,165000000,222487711,7.9
M093,Independence Day: Resurgence ,Roland Emmerich,PG-13,2016,165000000,102315545,5.5
M096,Guardians of the Galaxy ,James Gunn,PG-13,2014,170000000,333130696,8.1
M098,Inception ,Christopher Nolan,PG-13,2010,160000000,292568851,8.8
M103,X-Men: First Class ,Matthew Vaughn,PG-13,2011,160000000,146405371,7.8
M105,The Sorcerer's Apprentice ,Jon Turteltaub,PG,2010,150000000,63143812,6.1
M109,Warcraft ,Duncan Jones,PG-13,2016,160000000,46978995,7.3
M110,Terminator Genisys ,Alan Taylor,PG-13,2015,155000000,89732035,6.6
M113,Transformers ,Michael Bay,PG-13,2007,150000000,318759914,7.1
M117,Hancock ,Peter Berg,PG-13,2008,150000000,227946274,6.4
M122,Madagascar: Escape 2 Africa ,Eric Darnell,PG,2008,150000000,179982968,6.7
M124,X-Men Origins: Wolverine ,Gavin Hood,PG-13,2009,150000000,179883016,6.7
M128,Thor: The Dark World ,Alan Taylor,PG-13,2013,170000000,206360018,7.1
M131,Thor ,Kenneth Branagh,PG-13,2011,150000000,181015141,7
M133,G-Force ,Hoyt Yeatman,PG,2009,150000000,119420252,5.1
M134,Wrath of the Titans ,Jonathan Liebesman,PG-13,2012,150000000,83640426,5.8
M138,The Legend of Tarzan ,David Yates,PG-13,2016,180000000,124051759,6.6
M140,Kung Fu Panda 2 ,Jennifer Yuh Nelson,PG,2011,150000000,165230261,7.3
M141,The Last Airbender ,M. Night Shyamalan,PG,2010,150000000,131564731,4.2
M143,White House Down ,Roland Emmerich,PG-13,2013,150000000,73103784,6.4
M144,Mars Needs Moms ,Simon Wells,PG,2011,150000000,21379315,5.4
M151,Ghostbusters ,Paul Feig,PG-13,2016,144000000,118099659,5.5
M154,Beowulf ,Robert Zemeckis,PG-13,2007,150000000,82161969,6.3
M155,Kung Fu Panda 3 ,Alessandro Carloni,PG,2016,145000000,143523463,7.2
M156,Mission: Impossible - Ghost Protocol ,Brad Bird,PG-13,2011,145000000,209364921,7.4
M161,Star Trek ,J.J. Abrams,PG-13,2009,150000000,257704099,8
M163,How to Train Your Dragon 2 ,Dean DeBlois,PG,2014,145000000,176997107,7.9
M164,Gods of Egypt ,Alex Proyas,PG-13,2016,140000000,31141074,5.5
M166,Watchmen ,Zack Snyder,R,2009,130000000,107503316,7.7
M169,G.I. Joe: Retaliation ,Jon M. Chu,PG-13,2013,130000000,122512052,5.8
M172,Captain America: The First Avenger ,Joe Johnston,PG-13,2011,140000000,176636816,6.9
M177,The Incredible Hulk ,Louis Leterrier,PG-13,2008,150000000,134518390,6.8
M184,The Bourne Ultimatum ,Paul Greengrass,PG-13,2007,110000000,227137090,8.1
M185,Kung Fu Panda ,Mark Osborne,PG,2008,130000000,215395021,7.6
M186,Ant-Man ,Peyton Reed,PG-13,2015,130000000,180191634,7.4
M192,Puss in Boots ,Chris Miller,PG,2011,130000000,149234747,6.7
M193,Salt ,Phillip Noyce,PG-13,2010,110000000,118311368,6.4
M194,Noah ,Darren Aronofsky,PG-13,2014,125000000,101160529,5.8
M195,The Adventures of Tintin ,Steven Spielberg,PG,2011,135000000,77564037,7.4
M198,After Earth ,M. Night Shyamalan,PG-13,2013,130000000,60522097,4.9
M202,Megamind ,Tom McGrath,PG,2010,130000000,148337537,7.3
M204,R.I.P.D. ,Robert Schwentke,PG-13,2013,130000000,33592415,5.6
M212,Fast Five ,Justin Lin,PG-13,2011,125000000,209805005,7.3
M213,Sherlock Holmes: A Game of Shadows ,Guy Ritchie,PG-13,2011,125000000,186830669,7.5
M214,Clash of the Titans ,Louis Leterrier,PG-13,2010,125000000,163192114,5.8
M217,The Bourne Legacy ,Tony Gilroy,PG-13,2012,125000000,113165635,6.7
