Movie ID,budget,gross
M001,237000000,760505847
M002,300000000,309404152
M003,245000000,200074175
M004,250000000,448130642
M005,,
M006,263700000,73058679
M007,258000000,336530303
M008,260000000,200807262
M009,250000000,458991599
M010,250000000,301956980
M011,250000000,330249062
M012,209000000,200069408
M013,200000000,168368427
M014,225000000,423032628
M015,215000000,89289910
M016,225000000,291021565
M017,225000000,141614023
M018,220000000,623279547
M019,250000000,241063875
M020,225000000,179020854
M021,250000000,255108370
M022,230000000,262030663
M023,200000000,105219735
M024,225000000,258355354
M025,180000000,70083519
M026,207000000,218051260
M027,200000000,658672302
M028,250000000,407197282
M029,209000000,65173160
M030,150000000,652177271
M031,200000000,304360277
M032,200000000,373377893
M033,200000000,408992272
M034,200000000,334185206
M035,210000000,234360014
M036,200000000,268488329
M037,200000000,402076689
M038,210000000,245428137
M039,215000000,234903076
M040,200000000,202853933
M041,170000000,172051787
M042,200000000,191450875
M043,200000000,116593191
M044,200000000,414984497
M045,200000000,125320003
M046,190000000,350034110
M047,190000000,202351611
M048,200000000,233914986
M049,190000000,228756232
M050,195000000,65171860
M051,105000000,144812796
M052,200000000,90755643
M053,190000000,101785482
M054,195000000,352358779
M055,185000000,317011114
M056,,123070338
M057,185000000,237282182
M058,185000000,130468626
M059,180000000,223806889
M060,140000000,140080850
M061,200000000,166112167
M062,200000000,137850096
M063,176000000,47375327
M064,180000000,124051759
M065,180000000,291709845
M066,178000000,154985087
M067,185000000,533316061
M068,175000000,292979556
M069,175000000,198332128
M070,140000000,318298180
M071,170000000,73820094
M072,170000000,113745408
M073,145000000,102176165
M074,175000000,161087183
M075,175000000,100289690
M076,178000000,100189501
M077,175000000,88246220
M078,175000000,150167630
M079,175000000,356454367
M080,175000000,362645141
M081,200000000,312057433
M082,170000000,155111815
M083,180000000,241407328
M084,170000000,208543795
M085,,
M086,175000000,38297305
M087,170000000,259746958
M088,165000000,238371987
M089,190000000,93417865
M090,165000000,222487711
M091,165000000,189412677
M092,165000000,665426
M093,165000000,102315545
M094,165000000,217387997
M095,200000000,150350192
M096,170000000,333130696
M097,165000000,187991439
M098,160000000,292568851
M099,,
M100,180000000,303001229
M101,38000000,144512310
M102,150000000,127490802
M103,160000000,146405371
M104,160000000,281666058
M105,150000000,63143812
M106,160000000,60655503
M107,170000000,76846624
M108,160000000,320706665
M109,160000000,46978995
M110,155000000,89732035
M111,155000000,104383624
M112,140000000,198539855
M113,150000000,318759914
M114,155000000,34293771
M115,150000000,292000866
M116,150000000,289994397
M117,150000000,227946274
M118,150000000,256386216
M119,150000000,206456431
M120,150000000,206435493
M121,150000000,205343774
M122,150000000,179982968
M123,150000000,177243721
M124,150000000,179883016
M125,150000000,139259759
M126,150000000,400736600
M127,150000000,281492479
M128,170000000,206360018
M129,150000000,153629485
M130,150000000,133375846
M131,150000000,181015141
M132,150000000,114053579
M133,150000000,119420252
M134,150000000,83640426
M135,100000000,79711678
M136,150000000,195000874
M137,150000000,61937495
M138,180000000,124051759
