cast_set_num,movie_title,actor_1_name,actor_2_name,actor_3_name,facenumber_in_poster
CS100,Avatar ,CCH Pounder,Joel David Moore,Wes Studi,0
CS101,Pirates of the Caribbean: At World's End ,Johnny Depp,Orlando Bloom,Jack Davenport,0
CS102,Spectre ,Christoph Waltz,Rory Kinnear,Stephanie Sigman,1
CS103,The Dark Knight Rises ,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,0
CS104,Star Wars: Episode VII - The Force Awakens             ,Doug Walker,Rob Walker,,0
CS105,John Carter ,Daryl Sabara,Samantha Morton,Polly Walker,1
CS106,Spider-Man 3 ,J.K. Simmons,James Franco,Kirsten Dunst,0
CS107,Tangled ,Brad Garrett,Donna Murphy,M.C. Gainey,1
CS108,Avengers: Age of Ultron ,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,4
CS109,Harry Potter and the Half-Blood Prince ,Alan Rickman,Daniel Radcliffe,Rupert Grint,3
CS110,Batman v Superman: Dawn of Justice ,Henry Cavill,Lauren Cohan,Alan D. Purwin,0
CS111,Superman Returns ,Kevin Spacey,Marlon Brando,Frank Langella,0
CS112,Quantum of Solace ,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,1
CS113,Pirates of the Caribbean: Dead Man's Chest ,Johnny Depp,Orlando Bloom,Jack Davenport,2
CS114,The Lone Ranger ,Johnny Depp,Ruth Wilson,Tom Wilkinson,1
CS115,Man of Steel ,Henry Cavill,Christopher Meloni,Harry Lennix,0
CS116,The Chronicles of Narnia: Prince Caspian ,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,4
CS117,The Avengers ,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,3
CS118,Pirates of the Caribbean: On Stranger Tides ,Johnny Depp,Sam Claflin,Stephen Graham,4
CS119,Men in Black 3 ,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,1
CS120,The Hobbit: The Battle of the Five Armies ,Aidan Turner,Adam Brown,James Nesbitt,0
CS121,The Amazing Spider-Man ,Emma Stone,Andrew Garfield,Chris Zylka,0
