cast_set_num,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
CS100,James Cameron,0,CCH Pounder,1000,Joel David Moore,936,Wes Studi,855,4834
CS101,Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,48350
CS102,Sam Mendes,0,Christoph Waltz,11000,Rory Kinnear,393,Stephanie Sigman,161,11700
CS103,Christopher Nolan,22000,Tom Hardy,27000,Christian Bale,23000,Joseph Gordon-Levitt,23000,106759
CS104,Doug Walker,131,Doug Walker,131,Rob Walker,12,,,143
CS105,Andrew Stanton,475,Daryl Sabara,640,Samantha Morton,632,Polly Walker,530,1873
CS106,Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,46055
CS107,Nathan Greno,15,Brad Garrett,799,Donna Murphy,553,M.C. Gainey,284,2036
CS108,Joss Whedon,0,Chris Hemsworth,26000,Robert Downey Jr.,21000,Scarlett Johansson,19000,92000
CS109,David Yates,282,Alan Rickman,25000,Daniel Radcliffe,11000,Rupert Grint,10000,58753
CS110,Zack Snyder,0,Henry Cavill,15000,Lauren Cohan,4000,Alan D. Purwin,2000,24450
CS111,Bryan Singer,0,Kevin Spacey,18000,Marlon Brando,10000,Frank Langella,903,29991
CS112,Marc Forster,395,Giancarlo Giannini,451,Mathieu Amalric,412,Rory Kinnear,393,2023
CS113,Gore Verbinski,563,Johnny Depp,40000,Orlando Bloom,5000,Jack Davenport,1000,48486
CS114,Gore Verbinski,563,Johnny Depp,40000,Ruth Wilson,2000,Tom Wilkinson,1000,45757
CS115,Zack Snyder,0,Henry Cavill,15000,Christopher Meloni,3000,Harry Lennix,748,20495
CS116,Andrew Adamson,80,Peter Dinklage,22000,Pierfrancesco Favino,216,Damián Alcázar,201,22697
CS117,Joss Whedon,0,Chris Hemsworth,26000,Robert Downey Jr.,21000,Scarlett Johansson,19000,87697
CS118,Rob Marshall,252,Johnny Depp,40000,Sam Claflin,11000,Stephen Graham,1000,54083
CS119,Barry Sonnenfeld,188,Will Smith,10000,Michael Stuhlbarg,816,Nicole Scherzinger,718,12572
CS120,Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,9152
CS121,Marc Webb,464,Emma Stone,15000,Andrew Garfield,10000,Chris Zylka,963,28489
CS122,Ridley Scott,0,Mark Addy,891,William Hurt,882,Scott Grimes,738,3244
CS123,Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,9152
CS124,Chris Weitz,129,Christopher Lee,16000,Eva Green,6000,Kristin Scott Thomas,1000,24106
CS125,Peter Jackson,0,Naomi Watts,6000,Thomas Kretschmann,919,Evan Parke,84,7123
CS126,James Cameron,0,Leonardo DiCaprio,29000,Kate Winslet,14000,Gloria Stuart,794,45223
CS127,Anthony Russo,94,Robert Downey Jr.,21000,Scarlett Johansson,19000,Chris Evans,11000,64798
CS128,Peter Berg,532,Liam Neeson,14000,Alexander Skarsgård,10000,Tadanobu Asano,627,26679
CS129,Colin Trevorrow,365,Bryce Dallas Howard,3000,Judy Greer,2000,Omar Sy,1000,8458
CS130,Sam Mendes,0,Albert Finney,883,Helen McCrory,563,Rory Kinnear,393,2039
CS131,Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,43388
CS132,Shane Black,1000,Robert Downey Jr.,21000,Jon Favreau,4000,Don Cheadle,3000,30426
CS133,Tim Burton,13000,Johnny Depp,40000,Alan Rickman,25000,Anne Hathaway,11000,79957
CS134,Brett Ratner,420,Hugh Jackman,20000,Kelsey Grammer,808,Daniel Cudmore,560,21714
CS135,Dan Scanlon,37,Steve Buscemi,12000,Tyler Labine,779,Sean Hayes,760,14863
CS136,Michael Bay,0,Glenn Morshower,894,Kevin Dunn,581,Ramon Rodriguez,464,3218
CS137,Michael Bay,0,Bingbing Li,974,Sophia Myles,956,Kelsey Grammer,808,3988
CS138,Sam Raimi,0,Tim Holmes,44000,Mila Kunis,15000,James Franco,11000,73441
CS139,Marc Webb,464,Emma Stone,15000,Andrew Garfield,10000,B.J. Novak,825,28631
CS140,Joseph Kosinski,364,Jeff Bridges,12000,Olivia Wilde,10000,James Frain,1000,25550
CS141,John Lasseter,487,Joe Mantegna,1000,Thomas Kretschmann,919,Eddie Izzard,776,4482
CS142,Martin Campbell,258,Ryan Reynolds,16000,Temuera Morrison,368,Taika Waititi,326,17657
CS143,Lee Unkrich,125,Tom Hanks,15000,John Ratzenberger,1000,Don Rickles,721,19085
CS144,McG,368,Christian Bale,23000,Bryce Dallas Howard,3000,Common,988,27468
CS145,James Wan,0,Jason Statham,26000,Paul Walker,23000,Vin Diesel,14000,79150
CS146,Marc Forster,395,Peter Capaldi,17000,Brad Pitt,11000,Mireille Enos,1000,32392
CS147,Bryan Singer,0,Jennifer Lawrence,34000,Peter Dinklage,22000,Hugh Jackman,20000,91434
CS148,J.J. Abrams,14000,Benedict Cumberbatch,19000,Bruce Greenwood,981,Noel Clarke,928,21411
CS149,Bryan Singer,0,Eddie Marsan,979,Ewen Bremner,557,Ralph Brown,140,1766
CS150,Baz Luhrmann,1000,Leonardo DiCaprio,29000,Elizabeth Debicki,509,Steve Bisley,77,29770
CS151,Mike Newell,179,Jake Gyllenhaal,15000,Richard Coyle,567,Reece Ritchie,236,16149
CS152,Guillermo del Toro,0,Charlie Hunnam,16000,Clifton Collins Jr.,968,Larry Joe Campbell,919,19166
CS153,Michael Bay,0,Glenn Morshower,894,Lester Speight,829,Kevin Dunn,581,2593
CS154,Steven Spielberg,14000,Harrison Ford,11000,Ray Winstone,1000,Jim Broadbent,1000,14959
CS155,Peter Sohn,113,A.J. Buckley,275,Jack McGraw,150,Peter Sohn,113,696
CS156,Mark Andrews,56,Kelly Macdonald,2000,John Ratzenberger,1000,Julie Walters,838,5005
CS157,Justin Lin,681,Sofia Boutella,998,Melissa Roxburgh,119,Lydia Wilson,105,1327
CS158,Andrew Stanton,475,John Ratzenberger,1000,Fred Willard,729,Jeff Garlin,522,2975
CS159,Brett Ratner,420,Tzi Ma,268,Dana Ivey,268,Noémie Lenoir,173,1125
CS160,Roland Emmerich,776,Oliver Platt,1000,Liam James,468,Tom McCarthy,310,2144
CS161,Robert Zemeckis,0,Robin Wright,18000,Colin Firth,14000,Gary Oldman,10000,48878
CS162,Lana Wachowski,0,Channing Tatum,17000,Mila Kunis,15000,Eddie Redmayne,13000,47334
CS163,David Yates,282,Christoph Waltz,11000,Alexander Skarsgård,10000,Casper Crump,103,21175
CS164,Andrew Adamson,80,Jim Broadbent,1000,Kiran Shah,190,Shane Rangi,82,1317
CS165,Bryan Singer,0,Jennifer Lawrence,34000,Michael Fassbender,13000,Tye Sheridan,1000,49684
CS166,Christopher Nolan,22000,Christian Bale,23000,Heath Ledger,13000,Morgan Freeman,11000,57802
CS167,Pete Docter,0,John Ratzenberger,1000,Delroy Lindo,848,Jess Harnell,262,2635
CS168,Rob Letterman,11,Amy Poehler,1000,Rainn Wilson,973,Stephen Colbert,459,2579
CS169,Jon Favreau,4000,Robert Downey Jr.,21000,Jeff Bridges,12000,Jon Favreau,4000,39252
CS170,Martin Scorsese,17000,Chloë Grace Moretz,17000,Christopher Lee,16000,Ray Winstone,1000,36017
CS171,Barry Sonnenfeld,188,Will Smith,10000,Salma Hayek,4000,Bai Ling,582,15870
CS172,Rob Cohen,357,Jet Li,5000,Brendan Fraser,3000,Russell Wong,595,9131
CS173,David Ayer,452,Will Smith,10000,Robin Atkin Downes,336,Ike Barinholtz,329,11287
CS174,Tom Shadyac,293,Jimmy Bennett,87000,Morgan Freeman,11000,Steve Carell,7000,108016
CS175,Doug Liman,218,Tom Cruise,10000,Lara Pulver,854,Noah Taylor,509,12652
CS176,Kevin Reynolds,58,Jeanne Tripplehorn,711,Rick Aviles,60,Zakes Mokae,60,1004
CS177,Stephen Sommers,208,Joseph Gordon-Levitt,23000,Dennis Quaid,2000,Leo Howard,570,26683
CS178,Pete Docter,0,Amy Poehler,1000,Mindy Kaling,767,Phyllis Smith,384,2944
CS179,Jon Favreau,4000,Scarlett Johansson,19000,Bill Murray,13000,Garry Shandling,591,32921
CS180,Jon Favreau,4000,Robert Downey Jr.,21000,Scarlett Johansson,19000,Jon Favreau,4000,48638
CS181,Rupert Sanders,274,Chris Hemsworth,26000,Kristen Stewart,17000,Sam Claflin,11000,72881
CS182,Robert Stromberg,171,Angelina Jolie Pitt,11000,Sharlto Copley,2000,Sam Riley,846,15516
CS183,Matt Reeves,198,Gary Oldman,10000,Judy Greer,2000,Kodi Smit-McPhee,884,14363
CS184,Roland Joffé,596,Tamsin Egerton,622,Alice Englert,525,Bipasha Basu,283,1982
CS185,Carl Rinsch,47,Keanu Reeves,18000,Cary-Hiroyuki Tagawa,1000,Jin Akanishi,982,20965
CS186,Anthony Russo,94,Scarlett Johansson,19000,Chris Evans,11000,Hayley Atwell,2000,36188
CS187,Mike Mitchell,31,Jon Hamm,4000,Kathy Griffin,225,Mary Kay Place,213,4628
CS188,Brad Bird,663,Judy Greer,2000,Chris Bauer,638,Thomas Robinson,604,5046
CS189,Don Hall,38,Damon Wayans Jr.,756,Daniel Henney,719,Abraham Benrubi,562,2963
CS190,Rich Moore,66,Jack McBrayer,975,Sarah Silverman,931,Joe Lo Truglio,833,4451
CS191,Robert Zemeckis,0,Tom Hanks,15000,Eddie Deezen,726,Peter Scolari,267,16264
CS192,Roland Emmerich,776,Vivica A. Fox,890,Sela Ward,812,Judd Hirsch,535,3233
CS193,Dean DeBlois,255,Gerard Butler,18000,America Ferrera,953,Craig Ferguson,759,20453
CS194,Jonathan Mostow,84,Nick Stahl,648,M.C. Gainey,284,Carolyn Hennesy,191,1769
CS195,James Gunn,571,Bradley Cooper,14000,Vin Diesel,14000,Djimon Hounsou,3000,32438
CS196,Christopher Nolan,22000,Matthew McConaughey,11000,Anne Hathaway,11000,Mackenzie Foy,6000,31488
CS197,Christopher Nolan,22000,Leonardo DiCaprio,29000,Tom Hardy,27000,Joseph Gordon-Levitt,23000,81115
CS198,Hideaki Anno,28,Mark Chinnery,544,Shin'ya Tsukamoto,106,Atsuko Maeda,12,699
CS199,Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,9152
CS200,Rob Cohen,357,Paul Walker,23000,Vin Diesel,14000,Jordana Brewster,4000,45327
CS201,David Fincher,21000,Brad Pitt,11000,Jason Flemyng,1000,Julia Ormond,919,13333
CS202,Matthew Vaughn,905,Jennifer Lawrence,34000,Michael Fassbender,13000,Oliver Platt,1000,50983
CS203,Francis Lawrence,508,Jennifer Lawrence,34000,Philip Seymour Hoffman,22000,Josh Hutcherson,14000,81385
CS204,Jon Turteltaub,226,Nicolas Cage,12000,Omar Benson Miller,418,Robert Capron,370,13388
CS205,Wolfgang Petersen,249,Jimmy Bennett,87000,Mike Vogel,2000,Andre Braugher,702,92456
CS206,James Bobin,33,Johnny Depp,40000,Alan Rickman,25000,Anne Hathaway,11000,80806
CS207,Chris Miller,50,Justin Timberlake,3000,Eric Idle,795,Rupert Everett,692,4705
CS208,Duncan Jones,0,Dominic Cooper,3000,Callum Rennie,716,Ruth Negga,648,5505
