movie_id,cast_set_num,movie_title,director_name,genres,country,title_year,imdb_score,movie_imdb_link
M4410,CS4509,Kickboxer: Vengeance ,John Stockwell,Action,USA,2016,9.1,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1
M067,CS166,The Dark Knight ,Christopher Nolan,Action|Crime|Drama|Thriller,USA,2008,9,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1
M098,CS197,Inception ,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,USA,2010,8.8,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1
M004,CS103,The Dark Knight Rises ,Christopher Nolan,Action|Thriller,USA,2012,8.5,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
M4018,CS4117,"Batman: The Dark Knight Returns, Part 2 ",Jay Oliva,Action|Animation|Crime|Sci-Fi|Thriller,USA,2013,8.4,http://www.imdb.com/title/tt2166834/?ref_=fn_tt_tt_1
M028,CS127,Captain America: Civil War ,Anthony Russo,Action|Adventure|Sci-Fi,USA,2016,8.2,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
M096,CS195,Guardians of the Galaxy ,James Gunn,Action|Adventure|Sci-Fi,USA,2014,8.1,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1
M4691,CS4790,Destiny ,Joseph Kosinski,Action|Adventure|Fantasy|Sci-Fi,USA,2014,8.1,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1
M184,CS283,The Bourne Ultimatum ,Paul Greengrass,Action|Mystery|Thriller,USA,2007,8.1,http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1
M813,CS912,Deadpool ,Tim Miller,Action|Adventure|Comedy|Romance|Sci-Fi,USA,2016,8.1,http://www.imdb.com/title/tt1431045/?ref_=fn_tt_tt_1
M018,CS117,The Avengers ,Joss Whedon,Action|Adventure|Sci-Fi,USA,2012,8.1,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
M795,CS894,The Avengers ,Joss Whedon,Action|Adventure|Sci-Fi,USA,2012,8.1,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
M4717,CS4816,Light from the Darkroom ,Lance McDaniel,Action|Drama|Thriller,USA,2014,8,http://www.imdb.com/title/tt3130704/?ref_=fn_tt_tt_1
M048,CS147,X-Men: Days of Future Past ,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,USA,2014,8,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1
M161,CS260,Star Trek ,J.J. Abrams,Action|Adventure|Sci-Fi,USA,2009,8,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1
M070,CS169,Iron Man ,Jon Favreau,Action|Adventure|Sci-Fi,USA,2008,7.9,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1
M163,CS262,How to Train Your Dragon 2 ,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,USA,2014,7.9,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1
M090,CS189,Big Hero 6 ,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,USA,2014,7.9,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1
M001,CS100,Avatar ,James Cameron,Action|Adventure|Fantasy|Sci-Fi,USA,2009,7.9,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
M076,CS175,Edge of Tomorrow ,Doug Liman,Action|Adventure|Sci-Fi,USA,2014,7.9,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1
M103,CS202,X-Men: First Class ,Matthew Vaughn,Action|Adventure|Sci-Fi,USA,2011,7.8,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1
M087,CS186,Captain America: The Winter Soldier ,Anthony Russo,Action|Adventure|Sci-Fi,USA,2014,7.8,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1
M049,CS148,Star Trek Into Darkness ,J.J. Abrams,Action|Adventure|Sci-Fi,USA,2013,7.8,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1
M166,CS265,Watchmen ,Zack Snyder,Action|Drama|Mystery|Sci-Fi,USA,2009,7.7,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1
M084,CS183,Dawn of the Planet of the Apes ,Matt Reeves,Action|Adventure|Drama|Sci-Fi,USA,2014,7.6,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1
M4488,CS4587,The Algerian ,Giovanni Zelko,Action|Romance|Thriller,USA,2014,7.6,http://www.imdb.com/title/tt1681370/?ref_=fn_tt_tt_1
M1645,CS1744,Sicario ,Denis Villeneuve,Action|Crime|Drama|Mystery|Thriller,USA,2015,7.6,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1
M471,CS570,Fury ,David Ayer,Action|Drama|War,USA,2014,7.6,http://www.imdb.com/title/tt2713180/?ref_=fn_tt_tt_1
M1195,CS1294,Lone Survivor ,Peter Berg,Action|Biography|Drama|Thriller|War,USA,2013,7.6,http://www.imdb.com/title/tt1091191/?ref_=fn_tt_tt_1
M909,CS1008,Grindhouse ,Robert Rodriguez,Action|Horror|Thriller,USA,2007,7.6,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1
M367,CS466,Sherlock Holmes ,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,USA,2009,7.6,http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1
M185,CS284,Kung Fu Panda ,Mark Osborne,Action|Adventure|Animation|Comedy|Family,USA,2008,7.6,http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1
M346,CS445,Rise of the Planet of the Apes ,Rupert Wyatt,Action|Drama|Sci-Fi|Thriller,USA,2011,7.6,http://www.imdb.com/title/tt1318514/?ref_=fn_tt_tt_1
M213,CS312,Sherlock Holmes: A Game of Shadows ,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,USA,2011,7.5,http://www.imdb.com/title/tt1515091/?ref_=fn_tt_tt_1
M425,CS524,Scott Pilgrim vs. the World ,Edgar Wright,Action|Comedy|Fantasy|Romance,USA,2010,7.5,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1
M009,CS108,Avengers: Age of Ultron ,Joss Whedon,Action|Adventure|Sci-Fi,USA,2015,7.5,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
M058,CS157,Star Trek Beyond ,Justin Lin,Action|Adventure|Sci-Fi|Thriller,USA,2016,7.5,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1
M156,CS255,Mission: Impossible - Ghost Protocol ,Brad Bird,Action|Adventure|Thriller,USA,2011,7.4,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1
M195,CS294,The Adventures of Tintin ,Steven Spielberg,Action|Adventure|Family|Mystery,USA,2011,7.4,http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1
M186,CS285,Ant-Man ,Peyton Reed,Action|Adventure|Comedy|Sci-Fi,USA,2015,7.4,http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1
M971,CS1070,13 Hours ,Michael Bay,Action|Drama|Thriller|War,USA,2016,7.4,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1
M3542,CS3641,Stargate: The Ark of Truth ,Robert C. Cooper,Action|Adventure|Drama|Fantasy|Sci-Fi,USA,2008,7.4,http://www.imdb.com/title/tt0942903/?ref_=fn_tt_tt_1
M1616,CS1715,Looper ,Rian Johnson,Action|Crime|Drama|Sci-Fi|Thriller,USA,2012,7.4,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1
M212,CS311,Fast Five ,Justin Lin,Action|Crime|Thriller,USA,2011,7.3,http://www.imdb.com/title/tt1596343/?ref_=fn_tt_tt_1
M140,CS239,Kung Fu Panda 2 ,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,USA,2011,7.3,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1
M549,CS648,The Man from U.N.C.L.E. ,Guy Ritchie,Action|Adventure|Comedy,USA,2015,7.3,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1
M815,CS914,American Sniper ,Clint Eastwood,Action|Biography|Drama|History|Thriller|War,USA,2014,7.3,http://www.imdb.com/title/tt2179136/?ref_=fn_tt_tt_1
M202,CS301,Megamind ,Tom McGrath,Action|Animation|Comedy|Family|Sci-Fi,USA,2010,7.3,http://www.imdb.com/title/tt1001526/?ref_=fn_tt_tt_1
M066,CS165,X-Men: Apocalypse ,Bryan Singer,Action|Adventure|Sci-Fi,USA,2016,7.3,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1
M109,CS208,Warcraft ,Duncan Jones,Action|Adventure|Fantasy,USA,2016,7.3,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1
M033,CS132,Iron Man 3 ,Shane Black,Action|Adventure|Sci-Fi,USA,2013,7.2,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
M849,CS948,The Equalizer ,Antoine Fuqua,Action|Crime|Thriller,USA,2014,7.2,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1
M016,CS115,Man of Steel ,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,USA,2013,7.2,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
M1155,CS1254,21 Jump Street ,Phil Lord,Action|Comedy|Crime,USA,2012,7.2,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1
