Movie ID,movie_facebook_likes
M001,33000
M002,0
M003,85000
M004,164000
M005,0
M006,24000
M007,0
M008,29000
M009,118000
M010,10000
M011,197000
M012,0
M013,0
M014,5000
M015,48000
M016,118000
M017,0
M018,123000
M019,58000
M020,40000
M021,65000
M022,56000
M023,17000
M024,83000
M025,0
M026,0
M027,26000
M028,72000
M029,44000
M030,150000
M031,80000
M032,0
M033,95000
M034,24000
M035,0
M036,44000
M037,0
M038,56000
M039,60000
M040,41000
M041,30000
M042,10000
M043,24000
M044,30000
M045,0
M046,94000
M047,129000
M048,82000
M049,92000
M050,22000
M051,115000
M052,23000
M053,83000
M054,46000
M055,5000
M056,20000
M057,39000
M058,30000
M059,16000
M060,0
M061,13000
M062,0
M063,44000
M064,29000
M065,0
M066,54000
M067,37000
M068,27000
M069,0
M070,10000
M071,42000
M072,0
M073,0
M074,80000
M075,2000
M076,77000
M077,0
M078,0
M079,118000
M080,65000
M081,18000
M082,53000
M083,89000
M084,45000
M085,677
M086,35000
M087,55000
M088,0
M089,37000
M090,41000
M091,40000
M092,10000
M093,67000
M094,33000
M095,0
M096,96000
M097,349000
M098,175000
M099,0
M100,166000
M101,14000
M102,23000
M103,54000
M104,38000
M105,11000
M106,0
M107,30000
M108,0
M109,89000
M110,82000
M111,11000
M112,0
M113,8000
M114,0
M115,0
M116,0
M117,0
M118,11000
M119,0
M120,10000
M121,15000
M122,0
M123,2000
M124,0
M125,0
M126,58000
M127,0
M128,63000
M129,191000
M130,0
M131,63000
M132,0
M133,0
M134,19000
M135,82000
M136,47000
M137,0
M138,29000
M139,0
M140,20000
M141,18000
M142,0
M143,33000
M144,0
M145,0
M146,24000
M147,11000
M148,0
M149,17000
M150,0
M151,62000
M152,11000
M153,2000
M154,3000
M155,24000
M156,35000
M157,25000
M158,2000
M159,0
M160,51000
M161,19000
M162,5000
M163,46000
M164,24000
M165,0
M166,18000
M167,0
M168,0
M169,42000
M170,0
M171,0
M172,46000
M173,2000
M174,0
M175,65000
M176,0
M177,0
M178,0
M179,27000
M180,190000
M181,13000
M182,26000
M183,11000
M184,0
M185,6000
M186,61000
M187,82000
M188,65000
M189,26000
M190,0
M191,0
M192,16000
M193,23000
M194,71000
M195,44000
M196,11000
M197,0
M198,37000
M199,0
M200,40
M201,11000
M202,13000
M203,16000
M204,20000
M205,0
M206,10000
M207,25
M208,52000
M209,0
M210,0
M211,0
M212,54000
M213,39000
M214,15000
M215,0
M216,0
M217,31000
M218,0
M219,0
M220,19000
M221,0
M222,0
M223,0
M224,122000
M225,0
M226,31000
M227,0
M228,97000
M229,459
M230,61000
M231,0
M232,60000
M233,0
M234,0
M235,11000
M236,71000
M237,10000
M238,0
M239,0
M240,68000
M241,13000
M242,28000
M243,291
M244,0
M245,16000
M246,62000
M247,147000
M248,0
M249,12000
M250,41000
M251,3000
M252,52000
M253,0
M254,4000
M255,0
M256,0
M257,27000
M258,0
M259,0
M260,14000
M261,0
M262,71000
M263,31000
M264,304
M265,12000
M266,36000
M267,0
M268,894
M269,123000
M270,0
M271,21000
M272,0
M273,0
M274,946
M275,0
M276,0
M277,0
M278,5000
M279,153000
M280,0
M281,0
M282,53
M283,0
M284,21000
M285,0
M286,0
M287,0
M288,0
M289,13000
M290,0
M291,0
M292,0
M293,0
M294,0
M295,16000
M296,0
M297,199000
M298,0
M299,0
M300,108000
M301,0
M302,0
M303,11000
M304,24000
M305,17000
M306,25000
M307,2000
M308,14000
M309,138000
M310,0
M311,0
M312,124000
M313,16000
M314,0
M315,21000
M316,0
M317,0
M318,56000
M319,37000
M320,881
M321,27000
M322,416
M323,0
M324,33000
M325,578
M326,0
M327,0
M328,13000
M329,0
M330,0
M331,10000
M332,18000
M333,18000
M334,0
M335,0
M336,14000
M337,56000
M338,16000
M339,11000
M340,16000
M341,10000
M342,16000
M343,0
M344,37000
M345,0
M346,47000
M347,0
M348,66000
M349,701
M350,0
M351,1000
M352,9000
M353,0
M354,0
M355,18000
M356,0
M357,0
M358,0
M359,0
M360,70000
M361,0
M362,29000
M363,12000
M364,0
M365,54000
M366,0
M367,20000
M368,0
M369,0
M370,0
M371,0
M372,0
M373,39000
M374,11000
M375,988
M376,15000
M377,0
M378,0
M379,28000
M380,0
M381,15000
M382,0
M383,0
M384,0
M385,19000
M386,0
M387,2000
M388,979
M389,0
M390,41000
M391,0
M392,0
M393,788
M394,0
M395,0
