Movie ID,movie_title,director_name,num_voted_users,num_critic_for_reviews,imdb_score,movie_imdb_link
M001,Avatar ,James Cameron,886204,723,7.9,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
M002,Pirates of the Caribbean: At World's End ,Gore Verbinski,471220,302,7.1,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
M003,Spectre ,Sam Mendes,275868,602,6.8,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1
M004,The Dark Knight Rises ,Christopher Nolan,1144337,813,8.5,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
M005,Star Wars: Episode VII - The Force Awakens             ,Doug Walker,8,,7.1,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1
M006,John Carter ,Andrew Stanton,212204,462,6.6,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
M007,Spider-Man 3 ,Sam Raimi,383056,392,6.2,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
M008,Tangled ,Nathan Greno,294810,324,7.8,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
M009,Avengers: Age of Ultron ,Joss Whedon,462669,635,7.5,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
M010,Harry Potter and the Half-Blood Prince ,David Yates,321795,375,7.5,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
M011,Batman v Superman: Dawn of Justice ,Zack Snyder,371639,673,6.9,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
M012,Superman Returns ,Bryan Singer,240396,434,6.1,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
M013,Quantum of Solace ,Marc Forster,330784,403,6.7,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
M014,Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,522040,313,7.3,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
M015,The Lone Ranger ,Gore Verbinski,181792,450,6.5,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
M016,Man of Steel ,Zack Snyder,548573,733,7.2,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
M017,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,149922,258,6.6,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
M018,The Avengers ,Joss Whedon,995415,703,8.1,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
M019,Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,370704,448,6.7,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
M020,Men in Black 3 ,Barry Sonnenfeld,268154,451,6.8,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
M021,The Hobbit: The Battle of the Five Armies ,Peter Jackson,354228,422,7.5,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1
M022,The Amazing Spider-Man ,Marc Webb,451803,599,7,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
M023,Robin Hood ,Ridley Scott,211765,343,6.7,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
M024,The Hobbit: The Desolation of Smaug ,Peter Jackson,483540,509,7.9,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1
M025,The Golden Compass ,Chris Weitz,149019,251,6.1,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
M026,King Kong ,Peter Jackson,316018,446,7.2,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
M027,Titanic ,James Cameron,793059,315,7.7,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
M028,Captain America: Civil War ,Anthony Russo,272670,516,8.2,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
M029,Battleship ,Peter Berg,202382,377,5.9,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1
M030,Jurassic World ,Colin Trevorrow,418214,644,7,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
M031,Skyfall ,Sam Mendes,522030,750,7.8,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
M032,Spider-Man 2 ,Sam Raimi,411164,300,7.3,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
M033,Iron Man 3 ,Shane Black,557489,608,7.2,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
M034,Alice in Wonderland ,Tim Burton,306320,451,6.5,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1
M035,X-Men: The Last Stand ,Brett Ratner,383427,334,6.8,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1
M036,Monsters University ,Dan Scanlon,235025,376,7.3,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1
M037,Transformers: Revenge of the Fallen ,Michael Bay,323207,366,6,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1
M038,Transformers: Age of Extinction ,Michael Bay,242420,378,5.7,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1
